modelo,roc_auc,average_precision_no_pago,precision_no_pago,recall_no_pago,f1_no_pago,prevalencia_no_pago
RandomForest,0.7253760310528871,0.13349127416849604,0.10555555555555556,0.2087912087912088,0.14022140221402213,0.04228624535315985
HistGradientBoosting,0.6899136768132401,0.10655966461445326,0.12,0.13186813186813187,0.1256544502617801,0.04228624535315985
LogisticRegression,0.672894306082079,0.08374988314408187,0.06658130601792574,0.5714285714285714,0.11926605504587157,0.04228624535315985
Baseline,0.5,0.04228624535315985,0.0,0.0,0.0,0.04228624535315985
